i1
48913.8
5508.3
136800.7
18803.8
33428.4
29355.5
59008.6
18320.5
14862
38257.8
28875.3
21185.1
23555.4
57715.4
12841.4
12305.8
154108
80171.1
8929.8
16263.2
145727
316105.5
64478.2
111886.3
66963.9
150526.2
39227
11970.2
11727.9
43198.9
69779
58778.2
95787.3
16028.5
