I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34
720.5907881;410.9788955;4016.004407;893.3248894;3171.196373;34.22241584;2553.922969;970.793689;933.3102534;1143.563214;2327.384729;1333.345852;2044.712316;2254.282932;897.1005267;774.8699545;33443.8217;2727.540654;557.7126759;933.1144791;8493.972242;26851.45672;10928.74818;6687.764493;10204.83579;3201.854684;4056.407475;356.5385176;419.3276533;5507.480727;18720.69951;32551.77299;29596.29865;2243.405976
864.3704787;187.717184;2123.046294;472.2529918;1160.506241;15.63130273;1350.122198;513.2065942;493.3911107;604.5405825;1230.363572;704.8684918;1080.929816;1191.718569;474.2489689;409.6322162;9465.309318;688.7897684;364.3588529;609.6123252;5535.500585;24463.07743;2246.201207;8879.363898;3440.156391;1234.79303;1212.279628;312.4654748;367.4930136;4826.680696;7946.871569;1769.072947;6308.599572;919.7597941
2257.938733;329.6039205;2689.349299;598.2221188;1226.397386;27.44628144;1710.254833;650.0997168;624.9986359;765.7962035;1558.551699;892.8856566;1369.257868;1509.598499;600.7505044;518.8978293;7887.66898;320.769578;604.1284712;1010.773196;10773.42717;25737.76585;923.0506129;12431.67161;675.9078188;516.4522863;1173.812897;416.6960075;490.0793332;6436.738577;3692.628923;985.554061;3068.30178;678.2342298
26251.7;974.8;14109.9;2458.2;3502.4;1325.7;7412.5;2196.8;1936;3277;1753.7;1802;4331.7;2896.3;691;2202.9;37996.8;19760.9;2296.5;2253;24252.7;65225;15696.5;31564.2;14865.8;114072.7;3226.3;5358.6;5.5;7192.2;10613.4;5472.1;10789.8;5699.4
